stationid,stationname,lineids,linenames,lat,lng
1,XINZHA ROAD,{1},"{""LINE 1""}",31.240586222004,121.463750932475
2,LIANHUA  ROAD,{1},"{""LINE 1""}",31.1327503599606,121.398147977796
3,WENSHUI ROAD,{1},"{""LINE 1""}",31.294522314645,121.445544945438
4,GONGKANG ROAD,{1},"{""LINE 1""}",31.320851023353,121.442449430059
5,WEST YOUYI ROAD,{1},"{""LINE 1""}",31.3829573747301,121.42335165347
6,GONGFU XINCUN,{1},"{""LINE 1""}",31.3568664258311,121.429461787523
7,TONGHE XINCUN,{1},"{""LINE 1""}",31.3329126967458,121.436928718035
8,WAIHUAN ROAD,{1},"{""LINE 1""}",31.1228189074497,121.388385526394
9,SOUTH HUANGPI ROAD,{1},"{""LINE 1""}",31.2247335387373,121.468690176786
10,YANCHANG ROAD,{1},"{""LINE 1""}",31.2736901228894,121.450887414598
11,SHANGHAI CIRCUS WORLD,{1},"{""LINE 1""}",31.2814224926293,121.447505204417
12,HENGSHAN ROAD,{1},"{""LINE 1""}",31.2068889933719,121.442150806673
13,PENGPU XINCUN,{1},"{""LINE 1""}",31.3084682257008,121.444092708663
14,NORTH ZHONGSHAN ROAD,{1},"{""LINE 1""}",31.260655415605,121.454636733526
15,HULAN ROAD,{1},"{""LINE 1""}",31.3415585433048,121.433105175706
16,BAOAN HIGHWAY,{1},"{""LINE 1""}",31.3712762767974,121.426395601866
17,FUJIN ROAD,{1},"{""LINE 1""}",31.394078081618,121.420011925042
18,JINJIANG PARK,{1},"{""LINE 1""}",31.1438605932807,121.409519279688
19,PEOPLE'S SQUARE,"{1,2,9}","{""LINE 1"",""LINE 2"",""LINE 8""}",31.2347134910563,121.470037017063
20,SHANGHAI SOUTH RAILWAY STATION,"{1,3}","{""LINE 1"",""LINE 3""}",31.1560033091179,121.42567102821
21,SHANGHAI RAILWAY STATION,"{1,3,4}","{""LINE 1"",""LINE 3"",""LINE 4""}",31.2516086701138,121.453722962025
22,SHANGHAI INDOOR STADIUM,"{1,4}","{""LINE 1"",""LINE 4""}",31.1843424325186,121.43239051273
23,XINZHUANG,"{1,5,6}","{""LINE 1"",""LINE 5A"",""LINE 5B""}",31.1131170755495,121.380943174843
24,CHANGSHU ROAD,"{1,8}","{""LINE 1"",""LINE 7""}",31.2154382624789,121.445641524553
25,XUJIAHUI,"{1,10,13,14}","{""LINE 1"",""LINE 9"",""LINE 11A"",""LINE 11B""}",31.1961892705365,121.432209217397
26,SOUTH SHANXI ROAD,"{1,11,12,15}","{""LINE 1"",""LINE 10A"",""LINE 10B"",""LINE 12""}",31.2177747342466,121.454586005063
27,CAOBAO ROAD,"{1,15}","{""LINE 1"",""LINE 12""}",31.170384528703,121.429455293628
28,HANZHONG ROAD,"{1,15,16}","{""LINE 1"",""LINE 12"",""LINE 13""}",31.2429251492968,121.454173731549
29,GUANGLAN ROAD,{2},"{""LINE 2""}",31.2130865860322,121.61697051646
30,LUJIAZUI,{2},"{""LINE 2""}",31.2401912891617,121.497949986419
31,JINKE ROAD,{2},"{""LINE 2""}",31.2063608637282,121.597799072648
32,SHANGHAI SCIENCE & TECHNOLOGY MUSEUM,{2},"{""LINE 2""}",31.2206936459049,121.540589334457
33,YUANDONG  AVENUE,{2},"{""LINE 2""}",31.2014226292359,121.751094919169
34,CENTURY PARK,{2},"{""LINE 2""}",31.2114732246553,121.546681326061
35,DONGCHANG ROAD,{2},"{""LINE 2""}",31.2353884101451,121.511038148517
36,SONGHONG ROAD,{2},"{""LINE 2""}",31.22000080736,121.354842302768
37,HAITIANSAN ROAD,{2},"{""LINE 2""}",31.1705941762247,121.792627064072
38,EAST XUJING,{2},"{""LINE 2""}",31.1902689377967,121.294879634388
39,ZHANGJIANG HIGH TECHNOLOGY PARK,{2},"{""LINE 2""}",31.2039555767256,121.583499875381
40,TANGZHEN,{2},"{""LINE 2""}",31.2164387539343,121.651960001159
41,LINGKONG ROAD,{2},"{""LINE 2""}",31.194859635156,121.719748988541
42,CHUANSHA,{2},"{""LINE 2""}",31.1887144074309,121.693664396846
43,MIDDLE CHUANGXIN ROAD,{2},"{""LINE 2""}",31.215646248618,121.669479488634
44,BEIXINJING,{2},"{""LINE 2""}",31.2183056376045,121.369405185271
45,EAST HUAXIA ROAD,{2},"{""LINE 2""}",31.1987405429847,121.676612964425
46,LOUSHANGUAN ROAD,{2},"{""LINE 2""}",31.2129924367563,121.39918120634
47,WEINING ROAD,{2},"{""LINE 2""}",31.2166668329609,121.382427150836
48,ZHONGSHAN PARK,"{2,3,4}","{""LINE 2"",""LINE 3"",""LINE 4""}",31.2200429299633,121.411738842851
49,CENTURY AVENUE,"{2,4,7,10}","{""LINE 2"",""LINE 4"",""LINE 6"",""LINE 9""}",31.2309565555861,121.522659875425
50,JING'AN TEMPLE,"{2,8}","{""LINE 2"",""LINE 7""}",31.2250581169522,121.443052813551
51,LONGYANG ROAD,"{2,8,17,19}","{""LINE 2"",""LINE 7"",""LINE 16"",""MAGLEV LINE""}",31.2049887111678,121.553275156026
